full_name,age,position,Current Club,minutes_played,nationality,appearances,goals,assists,clean_sheets,conceded,yellow_cards,red_cards
Aaron Cresswell,32,Defender,West Ham United,1589,England,20,0,1,3,22,1,0
Aaron Lennon,35,Midfielder,Burnley,1217,England,16,1,1,4,20,1,0
Aaron Mooy,32,Midfielder,Huddersfield Town,2327,Australia,29,3,1,4,46,4,0
Aaron Ramsey,31,Midfielder,Arsenal,1327,Wales,28,4,6,7,12,0,0
Aaron Rowe,22,Forward,Huddersfield Town,69,England,2,0,0,0,1,0,0
Aaron Wan-Bissaka,24,Midfielder,Crystal Palace,3135,England,35,0,3,12,41,5,1
Abdelhamid Sabiri,25,Midfielder,Huddersfield Town,49,Morocco,2,0,0,0,3,0,0
Abdoulaye Doucouré,29,Midfielder,Watford,3062,France,35,5,6,5,54,7,0
Aboubakar Kamara,27,Forward,Fulham,687,France,13,3,0,2,16,2,0
Adalberto Peñaranda Maestre,25,Forward,Watford,0,Venezuela,0,0,0,0,0,0,0
Adam David Lallana,34,Midfielder,Liverpool,465,England,13,0,0,6,2,1,0
Adam Masina,28,Defender,Watford,1003,Italy,14,0,1,2,19,5,0
Adam Smith,31,Defender,AFC Bournemouth,2073,England,25,1,1,9,30,6,1
Adama Diakhaby,26,Forward,Huddersfield Town,551,France,12,0,0,1,16,1,0
Adama Traoré Diarra,26,Midfielder,Wolverhampton Wanderers,890,Spain,29,1,1,6,11,1,0
Ademola Lookman,25,Forward,Everton,601,England,21,0,2,8,7,0,0
Adrian Mariappa,36,Defender,Watford,1921,Jamaica,26,0,0,6,29,3,0
Adrián San Miguel del Castillo,35,Goalkeeper,West Ham United,0,Spain,0,0,0,0,0,0,0
Adrien Sebastian Perruchet Silva,33,Midfielder,Leicester City,88,Portugal,2,0,0,1,1,0,0
Ainsley Maitland-Niles,25,Midfielder,Arsenal,985,England,16,1,1,4,16,3,1
Alberto Moreno,30,Defender,Liverpool,155,Spain,2,0,0,0,2,0,0
Aleksandar Mitrović,28,Forward,Fulham,3282,Serbia,37,11,3,5,74,7,0
Alex Iwobi,26,Forward,Arsenal,1972,Nigeria,35,3,6,8,31,0,0
Alex McCarthy,32,Goalkeeper,Southampton,2250,England,25,0,0,4,37,1,0
Alex Oxlade-Chamberlain,29,Midfielder,Liverpool,19,England,2,0,0,2,0,0,0
Alex Pritchard,29,Midfielder,Huddersfield Town,2092,England,30,2,0,4,39,2,0
Alex Smithies,32,Goalkeeper,Cardiff City,0,England,0,0,0,0,0,0,0
Alexander Sørloth,26,Forward,Crystal Palace,173,Norway,12,0,0,4,1,0,0
Alexandre Lacazette,31,Forward,Arsenal,2503,France,35,13,8,7,28,2,0
Alexandre Nascimento Costa Silva,25,Forward,West Ham United,17,Portugal,1,0,0,0,0,0,0
Alexis Sanchez,33,Forward,Manchester United,877,Chile,20,1,3,6,8,3,0
Alfie Jones,25,Defender,Southampton,0,England,0,0,0,0,0,0,0
Alfie Mawson,28,Defender,Fulham,1131,England,15,0,0,3,25,2,0
Alfie Whiteman,24,Goalkeeper,Tottenham Hotspur,0,England,0,0,0,0,0,0,0
Ali Koiki,22,Defender,Burnley,0,England,0,0,0,0,0,0,0
Alireza Jahanbakhsh,29,Forward,Brighton & Hove Albion,1022,Iran,19,0,0,4,16,2,0
Alisson Becker,30,Goalkeeper,Liverpool,3420,Brazil,38,0,0,21,19,1,0
Alvaro Morata,30,Forward,Chelsea,943,Spain,16,5,0,9,11,3,0
Ander Herrera,33,Midfielder,Manchester United,1404,Spain,22,2,3,6,17,4,0
André Filipe Tavares Gomes,29,Midfielder,Everton,1986,Portugal,27,1,1,10,27,7,0
Andre Gray,31,Forward,Watford,1358,England,29,7,2,5,23,2,0
André Schürrle,31,Midfielder,Fulham,1650,Germany,24,6,0,1,42,2,0
André-Frank Zambo Anguissa,26,Midfielder,Fulham,1518,Cameroon,22,0,0,3,30,3,1
Andreas Christensen,26,Defender,Chelsea,615,Denmark,8,0,0,3,7,1,0
Andreas Pereira,26,Midfielder,Manchester United,595,Brazil,15,1,1,1,10,5,0
Andrew Robertson,28,Defender,Liverpool,3219,Scotland,36,0,11,21,17,4,0
Andrew Surman,36,Midfielder,AFC Bournemouth,1438,England,18,0,0,5,35,2,0
Andriy Yarmolenko,33,Forward,West Ham United,459,Ukraine,9,2,0,1,4,2,0
Andros Townsend,31,Midfielder,Crystal Palace,3018,England,38,6,4,12,44,1,0
Andy Carroll,33,Forward,West Ham United,454,England,12,0,0,2,6,2,0
Angel Gomes,22,Midfielder,Manchester United,25,England,2,0,0,0,1,0,0
Angelo Ogbonna,34,Defender,West Ham United,1870,Italy,24,1,1,3,32,2,0
Angus Gunn,26,Goalkeeper,Southampton,1080,England,12,0,0,3,17,0,0
Anthony Driscoll-Glennon,22,Defender,Burnley,0,England,0,0,0,0,0,0,0
Anthony Knockaert,30,Midfielder,Brighton & Hove Albion,1832,France,30,2,6,3,36,5,1
Anthony Martial,26,Forward,Manchester United,1623,France,27,10,2,5,25,2,0
Antonio Barreca,27,Defender,Newcastle United,4,Italy,1,0,0,0,0,0,0
Antonio Rüdiger,29,Defender,Chelsea,2874,Germany,33,1,0,12,34,7,0
Antonio Valencia,37,Defender,Manchester United,466,Ecuador,6,0,0,2,5,2,0
Arijanet Muric,23,Goalkeeper,Manchester City,0,Montenegro,0,0,0,0,0,0,0
Aron Einar Gunnarsson,33,Midfielder,Cardiff City,2274,Iceland,28,1,1,8,37,5,0
Arthur Masuaku,28,Defender,West Ham United,1756,France,23,0,1,6,26,2,0
Artur Boruc,42,Goalkeeper,AFC Bournemouth,1080,Poland,12,0,0,4,17,2,0
Ashley Barnes,32,Forward,Burnley,2400,England,37,12,2,8,34,8,0
Ashley Westwood,32,Midfielder,Burnley,2822,England,34,2,7,7,44,5,0
Ashley Young,37,Midfielder,Manchester United,2568,England,30,2,2,4,41,10,1
Asmir Begović,35,Goalkeeper,AFC Bournemouth,2160,Bosnia and Herzegovina,24,0,0,5,44,0,0
Aymeric Laporte,28,Defender,Manchester City,3057,France,35,3,3,18,21,3,0
Ayoze Perez,29,Forward,Newcastle United,2929,Spain,37,12,2,11,34,2,0
Bakary Sako,34,Midfielder,Crystal Palace,25,Mali,4,0,0,1,0,0,0
Ben Chilwell,25,Defender,Leicester City,3240,England,36,0,4,10,39,4,0
Ben Davies,29,Defender,Tottenham Hotspur,1839,Wales,27,0,0,10,24,2,0
Ben Foster,39,Goalkeeper,Watford,3420,England,38,0,0,7,57,1,0
Ben Gibson,29,Defender,Burnley,63,England,1,1,0,0,3,1,0
Ben Hamer,34,Goalkeeper,Huddersfield Town,553,England,7,0,0,1,20,0,0
Ben Mee,33,Defender,Burnley,3420,England,38,0,2,8,57,9,0
Ben White,25,Defender,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0
Ben Wilmot,23,Defender,Watford,26,England,2,0,0,1,2,0,0
Benjamin Johnson,22,Forward,West Ham United,63,England,1,0,0,0,1,0,0
Benjamin Mendy,28,Defender,Manchester City,900,France,10,0,5,4,6,1,0
Beram Kayal,34,Midfielder,Brighton & Hove Albion,934,Israel,18,1,1,5,15,4,0
Bernard Anício Caldeira Duarte,30,Midfielder,Everton,2128,Brazil,34,1,3,14,19,5,0
Bernardo,27,Defender,Brighton & Hove Albion,1750,Brazil,22,0,1,4,28,4,0
Bernardo Silva,28,Midfielder,Manchester City,2853,Portugal,36,7,7,18,22,3,0
Bernd Leno,30,Goalkeeper,Arsenal,2835,Germany,32,0,0,7,39,0,0
Bobby Reid,29,Midfielder,Cardiff City,1422,England,27,5,2,6,27,0,0
Brian Murphy,39,Goalkeeper,Cardiff City,0,Republic of Ireland,0,0,0,0,0,0,0
Bright Enobakhare,24,Forward,Wolverhampton Wanderers,0,England,0,0,0,0,0,0,0
Bruno Écuélé Manga,34,Defender,Cardiff City,3375,Gabon,38,0,1,10,59,0,0
Bruno Saltor Grau,42,Defender,Brighton & Hove Albion,1136,Spain,14,0,1,4,17,2,0
Caglar Söyüncü,26,Defender,Leicester City,371,Turkey,6,0,0,2,3,1,0
Callum Hudson-Odoi,21,Midfielder,Chelsea,391,England,10,0,1,3,5,0,0
Callum Paterson,28,Defender,Cardiff City,1996,Scotland,27,4,1,7,37,4,0
Callum Roberts,25,Forward,Newcastle United,0,England,0,0,0,0,0,0,0
Callum Slattery,23,Midfielder,Southampton,110,England,3,0,0,0,0,0,0
Callum Wilson,30,Forward,AFC Bournemouth,2535,England,30,14,9,9,44,3,0
Calum Chambers,27,Defender,Fulham,2587,England,31,2,0,5,49,9,0
Cameron John,23,Defender,Wolverhampton Wanderers,0,England,0,0,0,0,0,0,0
Carl Jenkinson,30,Defender,Arsenal,166,England,3,0,0,0,2,0,0
Carlos Sánchez,36,Midfielder,West Ham United,240,Colombia,7,0,0,2,2,0,0
Cedric Soares,31,Defender,Southampton,1494,Portugal,18,1,2,5,26,4,0
Cenk Tosun,31,Forward,Everton,1050,Turkey,25,3,3,7,16,3,0
Cesar Azpilicueta,33,Defender,Chelsea,3403,Spain,38,1,5,16,38,4,0
Cesc Fabregas,35,Midfielder,Chelsea,175,Spain,6,0,0,3,2,1,0
Charlie Austin,33,Forward,Southampton,980,England,25,2,2,6,14,1,0
Charlie Daniels,36,Defender,AFC Bournemouth,1583,England,21,1,0,6,32,4,0
Charlie Taylor,29,Defender,Burnley,3240,England,38,0,1,8,53,2,0
Cheikhou Kouyaté,32,Midfielder,Crystal Palace,1897,Senegal,31,0,2,11,24,3,0
Chris Löwe,33,Defender,Huddersfield Town,2056,Germany,29,0,2,1,52,2,0
Chris Mepham,24,Defender,AFC Bournemouth,849,Wales,13,0,1,3,16,1,0
Chris Smalling,32,Defender,Manchester United,2128,England,24,1,0,4,34,1,0
Chris Wood,30,Forward,Burnley,2582,New Zealand,38,10,2,8,43,2,0
Christian Atsu Twasam,30,Midfielder,Newcastle United,1487,Ghana,28,1,0,8,16,2,0
Christian Benteke,31,Forward,Crystal Palace,813,Belgium,16,1,1,5,10,1,0
Christian Eriksen,30,Midfielder,Tottenham Hotspur,2772,Denmark,35,8,12,10,34,3,0
Christian Fuchs,36,Defender,Leicester City,206,Austria,3,0,0,0,4,0,0
Christian Kabasele,31,Defender,Watford,1587,Belgium,21,0,0,4,25,4,1
Christopher Schindler,32,Defender,Huddersfield Town,3262,Germany,37,1,0,5,69,6,1
Ciaran Clark,33,Defender,Newcastle United,857,Republic of Ireland,11,3,0,2,14,1,0
Claudio Andrés Bravo Muñoz,39,Goalkeeper,Manchester City,0,Chile,0,0,0,0,0,0,0
Collin Quaner,31,Forward,Huddersfield Town,37,Germany,2,0,0,0,2,0,0
Connor Wickham,29,Forward,Crystal Palace,61,England,6,0,1,2,0,0,0
Conor Coady,29,Midfielder,Wolverhampton Wanderers,3420,England,38,0,0,9,43,5,0
Conor Coventry,22,Midfielder,West Ham United,0,Republic of Ireland,0,0,0,0,0,0,0
Craig Cathcart,33,Defender,Watford,3099,Northern Ireland,36,3,0,6,52,2,0
Curtis Jones,21,Midfielder,Liverpool,0,England,0,0,0,0,0,0,0
Cyrus Christie,30,Defender,Fulham,1943,Republic of Ireland,28,0,1,5,40,7,0
Dale Stephens,33,Midfielder,Brighton & Hove Albion,2487,England,30,1,1,5,43,7,1
Damián Emiliano Martínez,30,Goalkeeper,Arsenal,0,Argentina,0,0,0,0,0,0,0
Dan Burn,30,Defender,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0
Dan Gosling,32,Midfielder,AFC Bournemouth,1737,England,25,2,1,7,31,8,0
Daniel Amartey,27,Midfielder,Leicester City,640,Ghana,9,0,0,2,9,2,0
Daniel Sturridge,33,Forward,Liverpool,496,England,18,2,1,10,3,1,0
Daniel William John Ings,30,Forward,Southampton,1668,England,24,7,3,6,26,1,0
Daniel Williams,33,Midfielder,Huddersfield Town,93,USA,5,0,0,1,1,1,0
Danilo,31,Defender,Manchester City,806,Brazil,11,1,0,5,7,1,0
Danny Drinkwater,32,Midfielder,Chelsea,0,England,0,0,0,0,0,0,0
Danny Rose,32,Defender,Tottenham Hotspur,1806,England,26,0,3,10,12,5,0
Danny Simpson,35,Defender,Leicester City,291,England,6,0,0,3,4,0,0
Danny Ward,29,Goalkeeper,Leicester City,0,Wales,0,0,0,0,0,0,0
Danny Ward,31,Forward,Cardiff City,440,England,14,1,0,2,11,0,0
Danny Welbeck,31,Forward,Arsenal,147,England,8,1,1,2,2,0,0
Daryl Janmaat,33,Defender,Watford,1521,Netherlands,18,0,2,3,22,3,0
David Brooks,25,Forward,AFC Bournemouth,2278,England,30,7,5,9,39,3,0
David Button,33,Goalkeeper,Brighton & Hove Albion,360,England,4,0,0,1,5,0,0
David de Gea,31,Goalkeeper,Manchester United,3420,Spain,38,0,0,7,51,1,0
David Junior Hoilett,32,Forward,Cardiff City,2142,Canada,32,3,1,9,42,4,0
David Luiz,35,Defender,Chelsea,3239,Brazil,36,3,2,16,35,3,0
David Silva,36,Midfielder,Manchester City,2411,Spain,33,6,8,17,14,3,0
Davide Zappacosta,30,Defender,Chelsea,125,Italy,4,0,0,3,0,0,0
Davinson Sánchez Mina,26,Defender,Tottenham Hotspur,1943,Colombia,23,1,1,6,21,2,0
Davy Pröpper,31,Midfielder,Brighton & Hove Albion,2551,Netherlands,30,1,1,5,44,2,0
DeAndre Yedlin,29,Defender,Newcastle United,2475,USA,29,1,2,6,37,7,1
Declan Rice,23,Midfielder,West Ham United,3005,Republic of Ireland,34,2,0,6,42,4,0
Dejan Lovren,33,Defender,Liverpool,985,Croatia,13,1,0,6,7,1,0
Dele Alli,26,Midfielder,Tottenham Hotspur,1827,England,25,5,3,7,17,4,0
Demarai Gray,26,Midfielder,Leicester City,1992,England,34,4,1,8,26,2,0
Demeaco Duhaney,24,Defender,Huddersfield Town,46,England,1,0,0,1,0,0,0
Denis Odoi,34,Defender,Fulham,2593,Belgium,31,0,1,5,59,4,0
Denis Suárez,28,Midfielder,Arsenal,67,Spain,4,0,0,1,0,0,0
Diego Rico,29,Defender,AFC Bournemouth,607,Spain,12,0,0,0,18,1,0
Diogo José Teixeira da Silva,25,Midfielder,Wolverhampton Wanderers,2371,Portugal,33,9,5,9,29,11,0
Divock Origi,27,Forward,Liverpool,366,Belgium,12,3,1,7,2,0,0
Domingos Quina,22,Midfielder,Watford,335,Portugal,8,1,0,1,5,0,0
Dominic Calvert-Lewin,25,Forward,Everton,1774,England,35,6,2,13,24,3,0
Dominic Solanke,25,Forward,AFC Bournemouth,341,England,10,0,1,2,4,0,0
Dwight McNeil,22,Forward,Burnley,1599,England,21,3,5,4,22,2,0
Eden Hazard,31,Midfielder,Chelsea,2926,Belgium,37,16,15,15,34,2,0
Ederson,29,Goalkeeper,Manchester City,3420,Brazil,38,0,1,20,23,2,0
Edward Nketiah,23,Forward,Arsenal,62,England,5,1,0,1,2,0,0
Elias Kachunga,30,Forward,Huddersfield Town,1181,Congo DR,20,0,0,2,28,2,0
Emerson Hyndman,26,Midfielder,AFC Bournemouth,37,USA,1,0,0,0,2,0,0
Emerson Palmieri dos Santos,28,Defender,Chelsea,660,Italy,10,0,0,3,10,0,0
Emile Smith Rowe,22,Midfielder,Arsenal,0,England,0,0,0,0,0,0,0
Eric Bertrand Bailly,28,Defender,Manchester United,637,Ivory Coast,12,0,0,3,12,1,1
Eric Dier,28,Midfielder,Tottenham Hotspur,1510,England,20,3,0,6,16,4,0
Erik Durm,30,Defender,Huddersfield Town,2052,Germany,28,0,1,3,43,0,0
Erik Lamela,30,Midfielder,Tottenham Hotspur,971,Argentina,19,4,2,5,11,2,0
Ethan Ampadu,22,Midfielder,Chelsea,0,Wales,0,0,0,0,0,0,0
Etienne Capoue,34,Midfielder,Watford,2947,France,33,1,3,7,47,15,1
Fabián Cornelio Balbuena González,31,Defender,West Ham United,2014,Paraguay,23,1,0,5,27,2,0
Fabian Delph,32,Midfielder,Manchester City,725,England,11,0,1,4,9,2,1
Fabian Schär,30,Defender,Newcastle United,2002,Switzerland,24,4,1,8,21,12,0
Fabinho,29,Midfielder,Liverpool,2013,Brazil,28,1,2,15,13,6,0
Fabricio Martín Agosto Ramírez,34,Goalkeeper,Fulham,180,Spain,2,0,0,0,5,0,0
Faustino Marcos Alberto Rojo,32,Defender,Manchester United,211,Argentina,5,0,0,0,4,2,0
Federico Fernández,33,Defender,Newcastle United,1484,Argentina,19,0,1,4,22,2,0
Felipe Anderson Pereira Gomes,29,Midfielder,West Ham United,3054,Brazil,36,9,4,6,43,3,0
Fernando Llorente Torres,37,Forward,Tottenham Hotspur,683,Spain,20,1,4,7,8,2,0
Fernando Luiz Rosa,37,Midfielder,Manchester City,2381,Brazil,29,1,3,16,15,5,0
Florent Hadergjonaj,28,Defender,Huddersfield Town,1840,Switzerland,24,0,0,4,34,1,0
Florian Lejeune,31,Defender,Newcastle United,1055,France,12,0,0,3,12,0,0
Florin Andone,29,Forward,Brighton & Hove Albion,874,Romania,23,3,0,3,13,5,0
Floyd Ayité,33,Midfielder,Fulham,465,Togo,16,1,0,3,13,0,0
Fousseni Diabaté,27,Midfielder,Leicester City,55,Mali,1,0,0,0,1,0,0
Francisco Femenía Far,31,Midfielder,Watford,2045,Spain,29,1,1,5,38,1,0
Fraser Forster,34,Goalkeeper,Southampton,90,England,1,0,0,0,3,0,0
Freddie Woodman,25,Goalkeeper,Newcastle United,0,England,0,0,0,0,0,0,0
Frederico Rodrigues Santos,29,Midfielder,Manchester United,1045,Brazil,17,1,1,0,19,2,0
Gabriel Jesus,25,Forward,Manchester City,1019,Brazil,29,7,3,16,11,1,0
Gaëtan Bong Songo,34,Defender,Brighton & Hove Albion,1805,Cameroon,22,0,0,5,32,0,0
Gary Cahill,36,Defender,Chelsea,22,England,2,0,0,2,0,0,0
Gary Madine,32,Forward,Cardiff City,32,England,5,0,0,0,2,0,0
George Marsh,23,Midfielder,Tottenham Hotspur,0,England,0,0,0,0,0,0,0
Georges-Kevin N'Koudou Mbida,27,Forward,Tottenham Hotspur,4,France,1,0,1,0,0,0,0
Georginio Wijnaldum,31,Midfielder,Liverpool,2735,Netherlands,35,3,0,21,15,3,0
Gerard Deulofeu,28,Forward,Watford,2082,Spain,30,10,5,6,28,3,0
Glenn Murray,39,Forward,Brighton & Hove Albion,2513,England,38,13,1,7,44,5,0
Gonzalo Higuain,34,Forward,Chelsea,1092,Argentina,14,5,0,5,15,0,0
Grady Diangana,24,Midfielder,West Ham United,604,England,17,0,1,2,11,0,0
Granit Xhaka,30,Midfielder,Arsenal,2502,Switzerland,29,4,2,7,35,10,0
Greg Cunningham,31,Defender,Cardiff City,630,Republic of Ireland,7,0,0,1,16,3,0
Gylfi Sigurdsson,33,Midfielder,Everton,3134,Iceland,38,13,6,14,40,3,0
Hamza Choudhury,25,Midfielder,Leicester City,596,England,9,0,0,4,4,0,0
Harry Arter,32,Midfielder,Cardiff City,2008,Republic of Ireland,25,0,1,7,37,10,0
Harry Kane,29,Forward,Tottenham Hotspur,2427,England,28,17,4,10,28,5,0
Harry Maguire,29,Defender,Leicester City,2599,England,31,3,0,7,36,7,1
Harry Winks,26,Midfielder,Tottenham Hotspur,1591,England,26,1,0,10,16,4,0
Harvey Lewis Barnes,24,Midfielder,Leicester City,1007,England,16,1,2,3,16,0,0
Håvard Nordtveit,32,Midfielder,Fulham,361,Norway,5,0,1,1,9,0,0
Hector Bellerin,27,Defender,Arsenal,1535,Spain,19,0,5,4,20,3,0
Hélder Wander Sousa Azevedo Costa,28,Midfielder,Wolverhampton Wanderers,1345,Portugal,25,1,2,5,18,3,0
Henrikh Mkhitaryan,33,Midfielder,Arsenal,1643,Armenia,25,6,4,4,25,1,0
Heung-Min Son,30,Forward,Tottenham Hotspur,2048,South Korea,31,12,6,11,20,3,1
Heurelho da Silva Gomes,41,Goalkeeper,Watford,0,Brazil,0,0,0,0,0,0,0
Hugo Lloris,35,Goalkeeper,Tottenham Hotspur,2970,France,33,0,0,12,30,0,0
Ibrahima Cissé,28,Midfielder,Fulham,87,Belgium,3,0,0,0,3,0,0
Idrissa Gana Gueye,33,Midfielder,Everton,2825,Senegal,33,0,2,13,29,6,0
İlkay Gündoğan,32,Midfielder,Manchester City,2135,Germany,31,6,3,15,15,3,0
Isaac Ajayi Success,26,Forward,Watford,1037,Nigeria,30,1,1,5,20,4,0
Isaac Hayden,27,Midfielder,Newcastle United,1886,England,25,1,4,7,25,4,1
Isaac Mbenza,26,Forward,Huddersfield Town,981,Belgium,22,1,1,4,25,1,0
Issa Diop,25,Defender,West Ham United,2970,France,33,1,0,7,38,4,0
Ivan Ricardo Neves Abreu Cavaleiro,29,Forward,Wolverhampton Wanderers,683,Portugal,23,3,1,5,10,1,0
Jack Cork,33,Midfielder,Burnley,3313,England,37,1,2,8,54,6,0
Jack Simpson,25,Defender,AFC Bournemouth,403,England,6,0,0,2,9,0,0
Jack Stephens,28,Defender,Southampton,1697,England,24,1,0,5,30,4,0
Jack Wilshere,30,Midfielder,West Ham United,389,England,8,0,1,2,8,2,0
Jacob Murphy,27,Midfielder,Newcastle United,300,England,9,0,1,1,7,0,0
Jaïro Riedewald,26,Defender,Crystal Palace,0,Netherlands,0,0,0,0,0,0,0
Jamal Lascelles,28,Defender,Newcastle United,2748,England,32,0,1,11,33,4,0
James Garner,21,Defender,Manchester United,0,England,1,0,0,0,0,0,0
James Maddison,25,Midfielder,Leicester City,2850,England,36,7,7,8,39,5,1
James McArthur,35,Midfielder,Crystal Palace,3071,Scotland,38,3,6,12,44,7,0
James McCarthy,31,Midfielder,Everton,14,Republic of Ireland,1,0,0,1,0,0,0
James Milner,36,Midfielder,Liverpool,1785,England,31,5,4,18,11,7,1
James Tarkowski,29,Defender,Burnley,3087,England,35,3,1,7,52,8,0
James Tomkins,33,Defender,Crystal Palace,2563,England,29,1,1,10,34,6,0
James Ward-Prowse,27,Midfielder,Southampton,1942,England,26,7,0,4,36,4,0
Jamie Sterry,26,Defender,Newcastle United,0,England,0,0,0,0,0,0,0
Jamie Vardy,35,Forward,Leicester City,2735,England,34,18,4,10,33,4,1
Jan Bednarek,26,Defender,Southampton,2151,Poland,25,0,1,3,33,7,0
Jan Vertonghen,35,Defender,Tottenham Hotspur,1915,Belgium,22,1,0,7,21,5,1
Jannik Vestergaard,30,Defender,Southampton,2030,Denmark,23,0,0,4,27,2,0
Jason Puncheon,36,Midfielder,Huddersfield Town,391,England,11,0,0,3,8,1,0
Jason Steele,32,Goalkeeper,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0
Javier Hernandez,34,Forward,West Ham United,1335,Mexico,25,7,1,3,16,2,0
Javier Manquillo Gaitán,28,Defender,Newcastle United,1097,Spain,18,0,3,6,12,2,0
Jayson Molumby,23,Midfielder,Brighton & Hove Albion,0,Republic of Ireland,0,0,0,0,0,0,0
Jazz Richards,31,Defender,Cardiff City,128,Wales,4,0,0,1,4,0,0
Jean Michau00ebl Seri,31,Midfielder,Fulham,2252,Ivory Coast,32,1,2,4,53,6,0
Jeff Hendrick,30,Midfielder,Burnley,2069,Republic of Ireland,32,3,0,6,41,4,0
Jefferson Lerma,28,Midfielder,AFC Bournemouth,2511,Colombia,30,2,0,8,45,12,0
Jeffrey Schlupp,29,Defender,Crystal Palace,1665,Ghana,30,4,1,8,24,1,0
Jermain Defoe,40,Forward,AFC Bournemouth,21,England,4,0,0,2,2,0,0
Jesse Lingard,29,Midfielder,Manchester United,1668,England,27,4,2,6,25,3,0
João Moutinho,36,Midfielder,Wolverhampton Wanderers,3040,Portugal,38,1,8,9,37,4,0
Joe Bennett,32,Defender,Cardiff City,2641,England,30,0,1,9,43,5,0
Joe Bryan,29,Defender,Fulham,2350,England,28,0,1,5,51,5,0
Joe Daniel Tupper,24,Goalkeeper,Crystal Palace,0,England,0,0,0,0,0,0,0
Joe Gomez,25,Defender,Liverpool,1060,England,16,0,0,11,3,2,0
Joe Hart,35,Goalkeeper,Burnley,1710,England,19,0,0,4,34,0,0
Joe Powell,24,Forward,West Ham United,0,England,0,0,0,0,0,0,0
Joe Ralls,29,Midfielder,Cardiff City,1959,England,28,0,0,8,35,5,1
Joel Coleman,27,Goalkeeper,Huddersfield Town,90,England,1,0,0,0,1,0,0
Joel Matip,31,Defender,Liverpool,1532,Cameroon,22,1,0,11,9,3,0
Joel Ward,32,Defender,Crystal Palace,551,England,7,1,0,0,12,1,0
Johann Berg Guðmunds­son,32,Midfielder,Burnley,1748,Iceland,29,3,6,6,31,2,0
John Ruddy,36,Goalkeeper,Wolverhampton Wanderers,90,England,1,0,0,1,0,0,0
John Stones,28,Defender,Manchester City,1762,England,24,0,0,13,15,1,0
Jon Gorenc Stankovič,26,Defender,Huddersfield Town,718,Slovenia,11,1,0,2,19,2,0
Jonas Lössl,33,Goalkeeper,Huddersfield Town,2777,Denmark,31,0,1,5,52,1,0
Jonathan Hogg,33,Midfielder,Huddersfield Town,2377,England,29,0,1,5,42,9,1
